address,huanjing,jiage,louceng,mianji,shi,ting,title,xqname
高新区-高新一中 科技二路5号,"合租,朝南,有电梯,3/6号线",600,中层(共33层)                                                            ,30,3,2,月付太白南路地铁口嘉天国际科创小区崇立苑文理学院家属院太白里,沙井村
高新区-科技六路 团结南路,"合租,朝南,有电梯,6号线",780,中层(共30层)                                                            ,25,3,1,摩尔中心 唐延路 科技五路 双水磨 软件园附近合租房直租,南窑头社区西区
高新区-高新一中 枫叶北路1号,"合租,朝南,有电梯,3/5/6号线",450,高层(共7层)                                                            ,20,3,1,科技路地铁口 旺座国际城 新纪元公园 枫叶高层 高科花园,枫叶苑北区
高新区-大寨路 大寨路99号,"合租,朝南,有电梯,3/5号线",700,高层(共30层)                                                            ,30,3,2,大寨路 昆明路 汉城南路地铁口 恒大城 金域牟嘉 旭景碧泽园,恒大城
"高新区-大寨路 团结南路,近大寨路","合租,南北,有电梯,3/5号线",620,高层(共30层)                                                            ,20,2,1,群贤汇 三室合租 厨房 月付 可短租 地铁 阳台 飘窗 独卫,中建群贤汇
高新区-科技六路 双水磨路,"合租,南北,有电梯,6号线",750,中层(共33层)                                                            ,25,3,2,无押金 科技六路 保利双水磨 玫瑰公馆 拎包入住 精装全配,保利双水磨小区
高新区-大寨路 大寨路2号,"合租,朝南,有电梯,3/5号线",750,低层(共30层)                                                            ,20,4,1,可月付 融侨城 大寨路 盛景园 晶鑫商业广场 全女生招室友,东方米兰
高新区-科技六路 双水磨路,"合租,南北,有电梯,6号线",750,中层(共33层)                                                            ,25,3,2,无押金  科技六路 保利双水磨 玫瑰公馆 拎包入住,保利双水磨小区
高新区-紫薇田园都市 博士路,"合租,朝南,有电梯",750,中层(共11层)                                                            ,25,2,2,可月付博士路 丈八四路 阳光天地 嘉昱大厦 神州数码信凯大厦,紫薇田园都市D区
高新区-鱼化寨 西三环,"合租,南北,有电梯,3号线",680,共5层                                                            ,20,4,3,罗曼尼 鱼化寨地铁口 环普软件园 别墅区 独立电表 每周保洁,鸿锦城罗曼尼
高新区-二环南路西段 南二环,"整租,朝南,有电梯,3/5号线",2100,高层(共30层)                                                            ,43.1,1,0,西高新 群贤道九号 高新尊寓 精装一居室 拎包入住,群贤道九号
"高新区-陕西大会堂 西户公路,近经五路","合租,朝南,有电梯,6号线",450,低层(共31层)                                                            ,20,3,1,华为研究所 环普产业 欧森国际 中软国际 西安软件 陕西宾馆,金泰新理城
高新区-科技六路 双水磨路,"合租,朝南,有电梯,6号线",700,低层(共28层)                                                            ,23,5,0,科技四路 保利双水磨 押一付一 多套 随时看房 主卧次卧都有,保利双水磨小区
高新区-科技六路 双水磨路,"合租,朝南,有电梯,6号线",700,中层(共34层)                                                            ,27,5,0,押一付一无中介费丈八北路西安软件园高新医院双水磨精美主卧独卫,保利双水磨小区
"高新区-科技路西口 高新六路,近科技路","合租,朝南,有电梯,3号线",861,高层(共28层)                                                            ,33,3,2,月付 三户合租 带厨房 全女生 陈家庄 米罗蓝山 高新医院,米罗蓝山
高新区-科技路中段 科技路西段239号,"合租,朝南,有电梯,3/5号线",699,低层(共15层)                                                            ,26,3,2,直租延平门地铁口 中晶科技广场万象汇 旺座国际城 高新医院,中华世纪城
高新区-科技四路西段 高新六路43号,"合租,朝南,有电梯",750,中层(共30层)                                                            ,30,3,1,月付 全女生 西安软件园 绿港花园 750元月 精装修,绿港花园
高新区-大寨路 纬一路,"合租,南北,有电梯,3/5号线",699,低层(共34层)                                                            ,28,4,0,直租月付鱼化寨大寨路华州城云顶熙悦都天峰精美单间拎包入住,华洲城云顶
"高新区-锦业路 丈八六路,近科技八路","合租,朝南,有电梯,6号线",500,中层(共32层)                                                            ,25,5,0,丈八六路 环普产业园 万家灯火 美寓华庭 独立厨房有冰箱,盛泽万家灯火
"高新区-鱼化寨 富源三路,近富裕一路","合租,朝南,有电梯,5号线",550,高层(共11层)                                                            ,26,3,2,月付！ 实拍图 无中介 吾悅广场 西安立讯学院 朝南带阳台,紫薇西棠
高新区-科技路中段 科技路西段239号,"合租,朝南,有电梯,3/5号线",788,低层(共33层)                                                            ,35,3,2,延平门地铁口 旺座国际  中华世纪城 主卧带独卫 带阳台,中华世纪城
"高新区-高新路 博文路,近科创路","合租,朝南,3/5/6号线",600,高层(共6层)                                                            ,20,3,1,可月付 科技路地铁口 高薪一中 主卧 蒋家寨小区,蒋家寨小区
高新区-都市之门 太白南路39号,"整租,南北,有电梯,6号线",2500,高层(共26层)                                                            ,105.8,3,2,锦业路双子塔都市之门 丈八一路地铁口 幸福里 北沈 精装首租,天正幸福里
高新区-唐延路 科技四路2号,"合租,朝南,有电梯,6号线",600,低层(共9层)                                                            ,20,3,2,可月付 木塔寺地铁口 科技六路 高新万达 蓝岛广场 望亭国际,天地源枫林绿洲
高新区-木塔寺公园 高新路88号,"合租,南北,有电梯,6号线",520,高层(共19层)                                                            ,20,3,1,木塔寺地铁口旺座现代城洛克大厦新长安广场摩尔中心橡树星座万达,尚品国际
高新区-鱼化寨 天谷五路,"合租,朝南,有电梯",650,中层(共30层)                                                            ,25,3,2,月付 环普 欧森 数字软件园 漳浒寨雷家寨 朝南次卧沙发,漳浒寨雷家寨安置楼
高新区-鱼化寨 鱼斗路,"合租,朝南,有电梯",800,中层(共30层)                                                            ,20,3,2,科技四路 环普产业园 兴贺佳苑 鱼斗路 雷家寨,兴贺佳苑
高新区-二环南路西段 群贤路6号,"合租,朝南,有电梯,3/5号线",810,高层(共11层)                                                            ,30,3,1,延平们地铁口 唐延路 西安锦都 主卧带独卫 有厨房 随时看房,西安锦都
"高新区-鱼化寨 西三环,近科技六路","合租,朝南,有电梯",650,中层(共32层)                                                            ,25,4,1,环普产业园直达 软件新城 数字出版基地 腾飞科汇城 欧森国际,云水壹号
高新区-木塔寺公园 科技六路6号,"合租,朝南,有电梯,6号线",700,中层(共32层)                                                            ,30,4,2,月付木塔寺 生产力大厦 荣禾城市理想 电子信息大厦 文理学院,建邦华庭
高新区-大寨路 大寨路,"合租,南北,有电梯,3/5号线",500,低层(共33层)                                                            ,28,4,0,月付鱼化寨大寨路外事学院精美主卧单间多套拎包入住中航华府,中航华府
"高新区-大寨路 科技西路,近丈八北路辅路","合租,朝南,有电梯,3号线",550,低层(共33层)                                                            ,18,4,1,单间直租 高新云璟 蓝湖树 风韵蓝湾 伟业公馆 风度天城,金辉高新云璟
高新区-锦业路 锦业路,"合租,朝南,有电梯,6号线",800,高层(共7层)                                                            ,40,5,0,丈八六路地铁口 锦业路 40平尚品美地城 主卧阳台,尚品美地城
高新区-科技路西口 唐兴路21号,"合租,朝南,有电梯,3号线",930,中层(共34层)                                                            ,32,3,2,高新医院 都市春天 都市印象 西辛庄 利君明天 左岸春天,都市春天
高新区-科技六路 双水磨路,"合租,朝南,有电梯,6号线",600,高层(共33层)                                                            ,15,5,0,直租单间 保利双水磨 无押金 南北通透,保利双水磨小区
高新区-锦业路 锦业路东段32号,"整租,朝南,有电梯,6号线",2100,高层(共33层)                                                            ,43.9,1,1,锦业路 绿地中心 都市之门 永利国际 汇鑫IBC 中兴产业园,锦业时代
"高新区-大寨路 大寨路,近丈八北路","合租,朝南,有电梯,3/5号线",750,中层(共34层)                                                            ,30,3,2,直租 月付 铭城国际 大寨路 欣桥市场 鱼化寨西窑头地铁口,铭城(西区)
高新区-锦业路 锦业路东段32号,"整租,南北,有电梯,6号线",1600,高层(共32层)                                                            ,43.9,1,1,丈八一路 绿地都市之门 天安人寿 迈科中心 软件园 华陆大厦,锦业时代
高新区-科技路西口 唐兴路21号,"合租,朝南,有电梯,3号线",900,中层(共33层)                                                            ,36,3,2,减免一个月租金都市春天 超大南向卧室带落地全景阳台独立洗漱,都市春天
高新区-科技路西口 唐兴路21号,"合租,朝南,有电梯,3号线",850,中层(共30层)                                                            ,33,3,1,可月付 丈八北路地铁口 外事学院 高新医院 唐兴路 都市春天,都市春天
高新区-高新一中 枫叶北路1号,"合租,朝南,3/5/6号线",600,中层(共7层)                                                            ,20,3,1,月付可短租 科技路地铁口 枫叶苑北区采光好 非中介 随时看房,枫叶苑北区
高新区-锦业路 锦业一路,"合租,朝南,有电梯,6号线",450,中层(共28层)                                                            ,19,3,2,特价 丈八一路地铁 绿地中心 汇鑫IBC 陕煤小区 主卧独卫,陕煤小区
高新区-大寨路 大寨路,"合租,朝南,有电梯,3/5号线",500,高层(共34层)                                                            ,25,3,2,单间直租 中航华府  无押金,中航华府
高新区-唐延路 科技四路2号,"合租,朝南,有电梯,6号线",810,低层(共30层)                                                            ,30,3,2,月付 木塔寺 枫林绿洲 新长安广场 旺座现代城 领先时代广场,天地源枫林绿洲
高新区-鱼化寨 西三环,"合租,朝南,有电梯,3号线",500,低层(共31层)                                                            ,21,3,1,租房月付 鱼化寨地铁口渤海鸿海环普中软软件新城腾飞科技园欧森,绿地国际花都(南区)
高新区-科技路 团结南路2号,"合租,朝南,有电梯,3号线",800,中层(共30层)                                                            ,28,3,1,可月付 西安高新医院 中晶科技广场 中华世纪城 精装直租,高科新花园
"高新区-大寨路 大寨路,近无名路","合租,朝南,有电梯,3/5号线",900,中层(共33层)                                                            ,36,3,2,减免一个月租金 晶鑫华庭 南向超大卧室带落地全景阳台 可月付,晶鑫华庭
高新区-鱼化寨 天谷五路,"合租,朝南,有电梯",750,中层(共31层)                                                            ,25,3,2,月付 环普产业园 腾飞科汇城 欧森国际 数字出版社 半导体,漳浒寨雷家寨安置楼
高新区-大寨路 经十三路,"合租,朝南,有电梯,3/5号线",500,高层(共34层)                                                            ,29,5,0,直租无套路 多套精美单间主卧独卫 鱼化寨 西窑头 欣桥市场,华洲城熙悦都
高新区-丈八西路 丈八西路,"合租,朝南,6号线",1000,中层(共27层)                                                            ,31,2,1,西三环  华为 半导体 中软 环普 西沙湖花园 全女生合租,西滩村安置小区
高新区-科技六路 鱼化一路,"合租,朝南,有电梯",600,中层(共34层)                                                            ,25,4,1,丈八四路环普产业园华为研究所新长安广场软件新城阳台月付,保利天悦三期
"高新区-鱼化寨 鱼镐路,近鱼斗路","合租,朝南,有电梯,3号线",500,共1层                                                            ,30,5,0,无中介鱼化寨地铁口 环普产业园 欧森国际 中软国际单间主卧,东方米兰国际城
高新区-锦业路 锦业路,"合租,朝南,有电梯,6号线",800,高层(共7层)                                                            ,40,5,0,丈八六路地铁口 锦业路 40平尚品美地城 主卧阳台,尚品美地城
高新区-科技四路西段 高新六路43号,"合租,朝南,有电梯",850,低层(共33层)                                                            ,35,3,2,兄弟 闺蜜房 双人大床 南窑头社区 西安软件园 绿港花园,绿港花园
高新区-大寨路 大寨路,"合租,朝南,有电梯,3/5号线",500,高层(共34层)                                                            ,25,3,2,单间直租 中航华府  无押金,中航华府
"高新区-大寨路 大寨路,近无名路","合租,朝南,有电梯,3/5号线",800,高层(共33层)                                                            ,33,3,2,押一付一 全女生 莱安逸辉 东方米兰 晶鑫华庭 融侨城,晶鑫华庭
"高新区-大寨路 团结南路,近无名路","合租,朝南,有电梯,3/5号线",600,中层(共30层)                                                            ,15,3,1,月付 团结南路 丈八北路 科技路西口 大寨路 延平门 可做饭,响塘德苑
高新区-鱼化寨 鱼斗路,"合租,朝南,有电梯",800,中层(共30层)                                                            ,20,3,2,科技四路 环普产业园 兴贺佳苑 鱼斗路 雷家寨,兴贺佳苑
高新区-唐延路 沣惠南路2号,"合租,朝南,有电梯,3号线",730,中层(共18层)                                                            ,23,3,2,延平门地铁口 中华世纪城 实墙主卧 新西兰 唐延路 禾盛京广,枫叶新都市
高新区-鱼化寨 西三环,"合租,朝南,有电梯,3号线",500,低层(共31层)                                                            ,21,3,1,租房月付 鱼化寨地铁口渤海鸿海环普中软软件新城腾飞科技园欧森,绿地国际花都(南区)
高新区-昆明路 昆明路,"合租,朝南,有电梯,5号线",650,低层(共12层)                                                            ,20,3,1,可月付 免租一月 吾悦广场 阿房管南地铁口 石桥立交 精装,昆明时光3区
"高新区-大寨路 科技西路,近丈八北路辅路","合租,朝南,有电梯,3号线",600,中层(共33层)                                                            ,25,3,1,实图月付 丈八北路地铁口 外事学院 大寨子村 高新云璟,金辉高新云璟
高新区-锦业路 锦业路东段32号,"整租,朝南,有电梯,6号线",2100,高层(共33层)                                                            ,43.9,1,1,锦业路 绿地中心 都市之门 永利国际 汇鑫IBC 中兴产业园,锦业时代
"高新区-科技路西口 科技路,近高新六路","合租,朝南,有电梯,3/5号线",699,中层(共15层)                                                            ,26,3,2,无中介丈八北路地铁口 中晶科技广场 高新医院 睿中心 万象汇,铂悦
高新区-大寨路 纬一路,"合租,朝南,有电梯,3/5号线",600,高层(共33层)                                                            ,32.3,3,2,押一付一 鱼化寨地铁口 精装修 环普科技园 腾飞 华为研究所,华洲城云顶
"高新区-大寨路 创新路,近大寨路","合租,朝南,有电梯,3/5号线",880,高层(共32层)                                                            ,20,2,2,实拍 可月付 团结南路 太和时代 金辉广场 睿中心 融侨城,融侨城(东区一期)
"高新区-大寨路 大寨路,近无名路","合租,朝南,有电梯,3/5号线",780,中层(共28层)                                                            ,20,3,1,月付 大寨路 晶鑫华庭 太和时代 盛景园 莱安逸珲 安琪儿,晶鑫华庭
高新区-科技路 科技路20号,"合租,朝南,有电梯,3/5/6号线",800,高层(共23层)                                                            ,25,5,0,科技路地铁口附近 博文园 蒋家寨 糜家桥 萨菲尔高层电梯,萨菲尔名邸
高新区-大寨路 纬一路,"合租,朝南,有电梯,3/5号线",700,低层(共33层)                                                            ,25,3,1,月付 鱼化寨地铁口 环普中软欧森腾飞数字基地直达公交,华洲城云顶
"高新区-逸翠园 锦业二路,近唐延南路","合租,朝南,有电梯,6号线",700,中层(共18层)                                                            ,24,5,0,中兴产业园 逸翠园 海亮 万科 多套可选 可短租 月付,逸翠尚府南区
高新区-锦业路 锦业二路84号,"合租,朝南,有电梯,6号线",800,中层(共18层)                                                            ,28,3,2,可月付丈八六路 造字台 锦业二路 法士特 信凯大厦 嘉昱大厦,腾业南院
高新区-大寨路 科技路298号,"合租,朝南,有电梯,3/5号线",600,低层(共28层)                                                            ,25,3,1,押一付一 丈八北路地铁口 伟业公馆 文兴巷 高新六路,响塘文苑
高新区-木塔寺公园 科技六路6号,"合租,朝南,有电梯,6号线",598,低层(共32层)                                                            ,20,3,1,月付 文理学院 木塔寺 太白南路 沙井村 荣禾云图 兰岛广场,建邦华庭
